,Brand,Product_Name,Hex_Value,Hue,Saturation,Value,Lightness,Group
0,Fenty,PRO FILT'R,fde9de,21.0,0.12,0.99,94,Fenty Beauty
1,Fenty,PRO FILT'R,fde7da,22.0,0.14,0.99,93,Fenty Beauty
2,Fenty,PRO FILT'R,fde3cc,28.0,0.19,0.99,92,Fenty Beauty
3,Fenty,PRO FILT'R,f2d3b1,31.0,0.27,0.95,87,Fenty Beauty
4,Fenty,PRO FILT'R,fce1c6,30.0,0.21,0.99,91,Fenty Beauty
5,Fenty,PRO FILT'R,efd1b7,28.0,0.23,0.94,86,Fenty Beauty
6,Fenty,PRO FILT'R,f4cca8,28.0,0.31,0.96,85,Fenty Beauty
7,Fenty,PRO FILT'R,e8bfa3,24.0,0.3,0.91,80,Fenty Beauty
8,Fenty,PRO FILT'R,fad5b8,26.0,0.26,0.98,88,Fenty Beauty
9,Fenty,PRO FILT'R,e9c39f,29.0,0.32,0.91,81,Fenty Beauty
10,Fenty,PRO FILT'R,e8bc99,27.0,0.34,0.91,80,Fenty Beauty
11,Fenty,PRO FILT'R,e2ad85,26.0,0.41,0.89,75,Fenty Beauty
12,Fenty,PRO FILT'R,eeba93,26.0,0.38,0.93,80,Fenty Beauty
13,Fenty,PRO FILT'R,dfad89,25.0,0.39,0.87,75,Fenty Beauty
14,Fenty,PRO FILT'R,d9a57d,26.0,0.42,0.85,72,Fenty Beauty
15,Fenty,PRO FILT'R,e4ac7c,28.0,0.46,0.89,75,Fenty Beauty
16,Fenty,PRO FILT'R,dca77d,27.0,0.43,0.86,73,Fenty Beauty
17,Fenty,PRO FILT'R,d59d6d,28.0,0.49,0.84,69,Fenty Beauty
18,Fenty,PRO FILT'R,e7ae85,25.0,0.42,0.91,76,Fenty Beauty
19,Fenty,PRO FILT'R,dcb17d,33.0,0.43,0.86,75,Fenty Beauty
20,Fenty,PRO FILT'R,ca9262,28.0,0.51,0.79,65,Fenty Beauty
21,Fenty,PRO FILT'R,d28f58,27.0,0.58,0.82,65,Fenty Beauty
22,Fenty,PRO FILT'R,d39063,24.0,0.53,0.83,66,Fenty Beauty
23,Fenty,PRO FILT'R,d39156,28.0,0.59,0.83,66,Fenty Beauty
24,Fenty,PRO FILT'R,ac7752,25.0,0.52,0.67,55,Fenty Beauty
25,Fenty,PRO FILT'R,b67849,26.0,0.6,0.71,56,Fenty Beauty
26,Fenty,PRO FILT'R,bd7b45,27.0,0.63,0.74,58,Fenty Beauty
27,Fenty,PRO FILT'R,c98256,23.0,0.57,0.79,61,Fenty Beauty
28,Fenty,PRO FILT'R,ca875a,24.0,0.55,0.79,63,Fenty Beauty
29,Fenty,PRO FILT'R,a86b3f,25.0,0.63,0.66,51,Fenty Beauty
30,Fenty,PRO FILT'R,a65e23,27.0,0.79,0.65,48,Fenty Beauty
31,Fenty,PRO FILT'R,9d5d2d,26.0,0.71,0.62,46,Fenty Beauty
32,Fenty,PRO FILT'R,ab6939,25.0,0.67,0.67,51,Fenty Beauty
33,Fenty,PRO FILT'R,894f29,24.0,0.7,0.54,40,Fenty Beauty
34,Fenty,PRO FILT'R,9b5b35,22.0,0.66,0.61,46,Fenty Beauty
35,Fenty,PRO FILT'R,824f30,23.0,0.63,0.51,39,Fenty Beauty
36,Fenty,PRO FILT'R,7d452c,19.0,0.65,0.49,36,Fenty Beauty
37,Fenty,PRO FILT'R,6d3b20,21.0,0.71,0.43,31,Fenty Beauty
38,Fenty,PRO FILT'R,683a20,22.0,0.69,0.41,30,Fenty Beauty
39,Fenty,PRO FILT'R,583218,24.0,0.73,0.35,25,Fenty Beauty
40,Iman,Second to None,e1bea4,26.0,0.27,0.88,80,Black Founded BIPOC-recommended Brands
41,Iman,Second to None,e5ae86,25.0,0.41,0.9,76,Black Founded BIPOC-recommended Brands
42,Iman,Second to None,c38e63,27.0,0.49,0.76,64,Black Founded BIPOC-recommended Brands
43,Iman,Second to None,ac703d,28.0,0.65,0.67,53,Black Founded BIPOC-recommended Brands
44,Iman,Second to None,9e6209,36.0,0.94,0.62,47,Black Founded BIPOC-recommended Brands
45,Iman,Second to None,855723,32.0,0.74,0.52,41,Black Founded BIPOC-recommended Brands
46,Iman,Second to None,793f0d,28.0,0.89,0.47,34,Black Founded BIPOC-recommended Brands
47,Iman,Second to None,64300a,25.0,0.9,0.39,27,Black Founded BIPOC-recommended Brands
48,Beauty Bakerie,#1 CAKE MIX,532e1e,18.0,0.64,0.33,24,Black Founded BIPOC-recommended Brands
49,Beauty Bakerie,#1 CAKE MIX,4e2a1a,18.0,0.67,0.31,22,Black Founded BIPOC-recommended Brands
50,Beauty Bakerie,#1 CAKE MIX,623f2c,21.0,0.55,0.38,30,Black Founded BIPOC-recommended Brands
51,Beauty Bakerie,#1 CAKE MIX,8e532b,24.0,0.7,0.56,42,Black Founded BIPOC-recommended Brands
52,Beauty Bakerie,#1 CAKE MIX,985223,24.0,0.77,0.6,43,Black Founded BIPOC-recommended Brands
53,Beauty Bakerie,#1 CAKE MIX,a86738,25.0,0.67,0.66,50,Black Founded BIPOC-recommended Brands
54,Beauty Bakerie,#1 CAKE MIX,a16f4c,25.0,0.53,0.63,52,Black Founded BIPOC-recommended Brands
55,Beauty Bakerie,#1 CAKE MIX,a4683b,26.0,0.64,0.64,50,Black Founded BIPOC-recommended Brands
56,Beauty Bakerie,#1 CAKE MIX,a4683b,26.0,0.64,0.64,50,Black Founded BIPOC-recommended Brands
57,Beauty Bakerie,#1 CAKE MIX,ba7246,23.0,0.62,0.73,55,Black Founded BIPOC-recommended Brands
58,Beauty Bakerie,#1 CAKE MIX,a86d46,24.0,0.58,0.66,52,Black Founded BIPOC-recommended Brands
59,Beauty Bakerie,#1 CAKE MIX,b47c57,24.0,0.52,0.71,57,Black Founded BIPOC-recommended Brands
60,Beauty Bakerie,#1 CAKE MIX,cc9561,29.0,0.52,0.8,66,Black Founded BIPOC-recommended Brands
